City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Moranbah,AU,77.45,overcast clouds,-22.0016,148.0466,Moranbah
335,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,Mount Isa
336,Cabo San Lucas,MX,87.1,few clouds,22.8909,-109.9124,Cabo San Lucas
337,Taoudenni,ML,77.61,clear sky,22.6783,-3.9836,Taoudenni
346,Buraydah,SA,75.65,clear sky,26.326,43.975,Buraydah
348,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Recife
352,Kota Belud,MY,85.77,few clouds,6.351,116.4305,Kota Belud
357,Katsina,NG,86.0,few clouds,12.9894,7.6006,Katsina
359,Conceicao Do Araguaia,BR,76.53,clear sky,-8.2578,-49.2647,Conceição do Araguaia
360,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Hambantota
362,Cobija,BO,77.97,broken clouds,-11.0267,-68.7692,Cobija
366,Las Vegas,US,83.08,clear sky,36.175,-115.1372,Las Vegas
367,Manuk Mangkaw,PH,83.19,overcast clouds,4.8,119.85,Simunul
373,Piacabucu,BR,77.58,scattered clouds,-10.4056,-36.4344,Piaçabuçu
377,Hobyo,SO,83.95,light rain,5.3505,48.5268,Hobyo
378,Ca Mau,VN,84.49,overcast clouds,9.1769,105.15,Cà Mau
382,Mitsamiouli,KM,80.56,clear sky,-11.3847,43.2844,Mitsamiouli
385,Itupiranga,BR,79.12,broken clouds,-5.1347,-49.3267,Itupiranga
387,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Padang
390,Harper,LR,80.67,scattered clouds,4.375,-7.7169,Harper
398,Garowe,SO,80.6,light rain,8.4054,48.4845,Garowe
399,Tabuk,PH,83.26,broken clouds,17.4189,121.4443,Tabuk
400,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,Acapulco
401,Gharghoda,IN,80.78,clear sky,22.1667,83.35,Gharghoda
403,Lahaina,US,80.6,light rain,20.8783,-156.6825,Lahaina
408,Coxim,BR,76.98,scattered clouds,-18.5067,-54.76,Coxim
409,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Cayenne
420,Atar,MR,82.49,clear sky,20.5169,-13.0499,Atar
423,Nisia Floresta,BR,79.18,light rain,-6.0911,-35.2086,São José de Mipibu
424,Maracaibo,VE,81.91,overcast clouds,10.6317,-71.6406,Maracaibo
429,Santa Monica,US,78.28,clear sky,34.0195,-118.4912,Los Angeles
435,Aswan,EG,81.7,clear sky,24.0934,32.907,Aswan
436,Mogadishu,SO,81.7,moderate rain,2.0371,45.3438,Mogadishu
437,Bellview,US,77.97,scattered clouds,30.4616,-87.315,Brent
439,Kavaratti,IN,84.16,overcast clouds,10.5669,72.642,Kavaratti
440,Mahmudabad,IN,82.33,clear sky,27.3,81.1167,Mahmudabad
441,Carupano,VE,77.25,overcast clouds,10.6678,-63.2585,Carupano
442,Axim,GH,79.93,overcast clouds,4.8699,-2.2405,Axim
445,Bathsheba,BB,79.48,overcast clouds,13.2167,-59.5167,Wilson Hill
446,Dawei,MM,77.25,light rain,14.0833,98.2,Dawei
448,Langsa,ID,76.19,overcast clouds,4.4683,97.9683,Langsa
458,Djougou,BJ,76.77,broken clouds,9.7085,1.666,Djougou
459,Kidal,ML,80.76,clear sky,18.4411,1.4078,Kidal
462,San Pedro,PH,88.36,scattered clouds,14.35,121.0167,Bacoor
463,Puerto Escondido,MX,83.68,overcast clouds,15.85,-97.0667,Puerto Escondido
465,Sarangani,PH,82.35,overcast clouds,5.4033,125.4636,Municipality of Sarangani
466,Parrita,CR,78.08,light rain,9.5201,-84.3225,Parrita
469,Natitingou,BJ,77.38,broken clouds,10.3042,1.3796,Natitingou
471,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,Port Hedland
476,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,Panama City
477,Port Blair,IN,78.84,mist,11.6667,92.75,Port Blair
478,Miraflores,MX,75.87,scattered clouds,19.2167,-98.8083,Tlalmanalco
480,Malanville,BJ,89.33,overcast clouds,11.8685,3.3899,Malanville
481,Vaitape,PF,81.39,light rain,-16.5167,-151.75,Vaitape
483,Pyapon,MM,85.33,scattered clouds,16.2833,95.6833,Pyapon
492,Kalianget,ID,84.67,few clouds,-7.05,113.9333,SMK Negeri 1 Kalianget
494,Namatanai,PG,85.32,few clouds,-3.6667,152.4333,Namatanai
497,Totness,SR,78.42,few clouds,5.8833,-56.3167,Totness
499,Cairns,AU,84.07,scattered clouds,-16.9167,145.7667,Cairns
500,Kulhudhuffushi,MV,85.08,overcast clouds,6.6221,73.07,Kulhudhuffushi
501,Road Town,VG,78.84,light rain,18.4167,-64.6167,Road Town
504,Merauke,ID,80.19,overcast clouds,-8.4667,140.3333,Urum
505,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,The Valley
507,Manzanillo,CU,77.09,broken clouds,20.3433,-77.1167,Manzanillo
510,Carrollton,US,80.22,overcast clouds,32.9537,-96.8903,Carrollton
514,Paracuru,BR,79.11,overcast clouds,-3.41,-39.0306,Paracuru
515,Dingle,PH,84.96,broken clouds,10.9995,122.6711,Pototan
516,Ladario,BR,82.24,overcast clouds,-19.0047,-57.6017,Corumbá
517,Bengkulu,ID,78.94,overcast clouds,-3.8004,102.2655,Bengkulu
520,Panguna,PG,83.17,overcast clouds,-6.3164,155.4848,Panguna
522,Limoeiro Do Ajuru,BR,75.45,heavy intensity rain,-1.8953,-49.3806,Limoeiro do Ajuru
529,Ukiah,US,76.64,clear sky,39.1502,-123.2078,Ukiah
532,Half Moon Bay,US,75.54,haze,37.4636,-122.4286,Half Moon Bay
533,Salinas,US,77.0,clear sky,36.6777,-121.6555,Salinas
535,Kalmunai,LK,79.9,broken clouds,7.4167,81.8167,Kalmunai
537,Durango,MX,75.49,overcast clouds,24.8333,-104.8333,Fuente del Llano
540,Tonj,SS,79.32,overcast clouds,7.2737,28.6822,Tonj
541,Agadez,NE,84.79,clear sky,19.75,10.25,
543,Sibolga,ID,78.71,overcast clouds,1.7427,98.7792,Sibolga
544,Riyadh,SA,78.94,clear sky,24.6877,46.7219,Riyadh
550,Mareeba,AU,79.45,few clouds,-17.0,145.4333,Mareeba
552,Ratnapura,LK,77.31,overcast clouds,6.6828,80.3992,Ratnapura
553,San Andres,CO,77.02,overcast clouds,12.5847,-81.7006,San Andrés
555,Safford,US,84.11,clear sky,32.834,-109.7076,Safford
556,Pandan,PH,83.55,overcast clouds,14.0453,124.1694,Pandan
557,Adrar,MR,77.22,clear sky,20.5022,-10.0711,
560,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Maceió
564,Makakilo City,US,78.55,broken clouds,21.3469,-158.0858,Kapolei
573,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Sabang
576,Iquitos,PE,80.64,scattered clouds,-3.7481,-73.2472,Iquitos
583,Ambarawa,ID,76.77,overcast clouds,-7.2633,110.3975,Ambarawa
584,Chhoti Sadri,IN,82.8,scattered clouds,24.3833,74.7,Chhoti Sadri
585,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Klouklubed
589,Mormugao,IN,81.55,scattered clouds,15.4,73.8,Vasco da Gama
590,Edd,ER,88.14,few clouds,13.9297,41.6925,Idi
593,Tiarei,PF,84.22,overcast clouds,-17.5333,-149.3333,Maha'ena
594,Akyab,MM,81.1,clear sky,20.15,92.9,Sittwe
597,Weston,US,78.03,scattered clouds,26.1004,-80.3998,Sunrise
598,Lakatoro,VU,84.29,overcast clouds,-16.0999,167.4164,Lakatoro
602,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Kununurra
608,Jalu,LY,75.76,overcast clouds,29.0331,21.5482,Jalu
609,Humaita,BR,75.27,overcast clouds,-7.5061,-63.0208,Humaitá District
612,Barstow,US,81.59,clear sky,34.8986,-117.0228,Barstow
613,Bonfim,BR,80.1,scattered clouds,3.0833,-59.95,Bonfim
614,Tutoia,BR,77.81,light rain,-2.7619,-42.2744,Tutóia
615,Pemangkat,ID,82.22,overcast clouds,1.1667,108.9667,Pemangkat
617,Gusau,NG,84.45,few clouds,12.1628,6.6614,Gusau
621,Sulphur,US,80.58,scattered clouds,30.2366,-93.3774,Sulphur
622,Iracoubo,GF,77.74,overcast clouds,5.4802,-53.2011,Iracoubo
623,Bandarbeyla,SO,82.58,overcast clouds,9.4942,50.8122,Bandarbeyla
625,Mandal,IN,85.14,broken clouds,25.45,74.5667,Mandal
629,Daru,PG,82.33,scattered clouds,-9.0763,143.2092,Daru
630,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Porto-Novo
634,Tuy Hoa,VN,80.31,overcast clouds,13.0833,109.3,Tuy Hòa
