City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Alfred,ZA,-33.5906,26.891,56.17,93,5,7.38,clear sky
80,Haines Junction,CA,60.7522,-137.5108,49.95,43,100,9.22,overcast clouds
81,Cidreira,BR,-30.1811,-50.2056,64.69,72,100,6.64,overcast clouds
82,Kaitangata,NZ,-46.2817,169.8464,62.22,63,33,4.97,scattered clouds
83,Saskylakh,RU,71.9167,114.0833,16.14,90,34,5.73,scattered clouds
84,Castro,BR,-24.7911,-50.0119,62.89,88,100,2.15,overcast clouds
85,New Norfolk,AU,-42.7826,147.0587,65.7,46,100,8.21,overcast clouds
86,Dikson,RU,73.5069,80.5464,10.45,94,100,11.34,overcast clouds
87,Naze,JP,28.3667,129.4833,65.32,56,100,9.06,overcast clouds
88,Oktyabrskoye,RU,43.0645,44.7417,48.34,100,100,2.24,fog
89,Kapaa,US,22.0752,-159.319,85.98,79,75,18.41,broken clouds
90,Havoysund,NO,70.9963,24.6622,28.63,82,99,25.9,overcast clouds
91,Victoria,HK,22.2855,114.1577,64.26,92,100,5.99,light rain
92,Laohekou,CN,32.3858,111.6678,66.67,41,0,11.41,clear sky
93,Esperance,AU,-33.8667,121.9,58.84,58,14,8.63,few clouds
94,Tromso,NO,69.6496,18.957,32.38,93,100,3.44,overcast clouds
95,Hasaki,JP,35.7333,140.8333,57.6,54,100,13.91,overcast clouds
96,Talnakh,RU,69.4865,88.3972,20.21,94,100,7.65,light snow
97,Guerrero Negro,MX,27.9769,-114.0611,63.75,72,6,17.9,clear sky
98,Dubasari,MD,47.2631,29.1608,51.3,77,16,2.91,few clouds
99,Kasongo-Lunda,CD,-6.4667,16.8167,68.45,92,87,1.45,overcast clouds
100,Joensuu,FI,62.6012,29.7632,30.69,93,0,1.14,clear sky
101,Mar Del Plata,AR,-38.0023,-57.5575,51.87,72,75,18.01,light rain
102,Camacha,PT,33.0833,-16.3333,60.22,77,40,10.36,scattered clouds
103,Guatire,VE,10.4762,-66.5427,72.27,87,78,3.0,broken clouds
104,Ancud,CL,-41.8697,-73.8203,50.0,92,32,3.62,scattered clouds
105,Talaya,RU,61.3833,152.75,31.82,90,30,2.8,scattered clouds
